Name,Type,Percentages,Blg,Country,Rating,Url
Pinta RisFactor Double Barrel Aged Bourbon and Rum,Imperial Stout BA,0,0,Polska,9,pinta-risfactor-double-barrel-aged-bourbon-and-rum-s1-n8157#komentarze
Deer Bear Blend Battle Vol. 2,Chocolate Vanilla Nutmeg Coffee Imperial Milk Stout,0,0,Polska,9,deer-bear-blend-battle-vol-2-s1-n10076#komentarze
Szałpiw Bloody Belfegor,Blackcurrant Belgian Dark Strong Ale,0,0,Polska,9,szalpiw-bloody-belfegor-s1-n7244#komentarze
Pinta Imperator Bałtycki Sherry Oloroso Barrel Aged,Baltic Porter Barrel Aged,0,0,Polska,8,pinta-imperator-baltycki-sherry-oloroso-barrel-aged-s1-n7239#komentarze
Artezan Samiec Alfa Bourbon Barrel Aged,Imperial Stout Bourbon Barrel Aged,0,0,Polska,8,artezan-samiec-alfa-bourbon-barrel-aged-s1-n4395#komentarze
Mikkeller Black,Russian Imperial Stout,0,0,Dania,8,mikkeller-black-s1-n1440#komentarze
BrewDog Cocoa Psycho,Russian Imperial Stout,0,0,Wielka Brytania,8,brewdog-cocoa-psycho-s1-n1284#komentarze
Perun Behemoth Bafomet,Russian Imperial Stout,0,0,Polska,8,perun-behemoth-bafomet-s1-n4959#komentarze
Piwne Podziemie Tropicalia,Session IPA,0,0,Polska,8,piwne-podziemie-tropicalia-s1-n3861#komentarze
Jan Olbracht Rzemieślniczy Kord Whiskey Barrel Aged,Quintuple Whiskey BA,0,0,Polska,8,jan-olbracht-rzemieslniczy-kord-whiskey-barrel-aged-s1-n5598#komentarze
Mikkeller Black,Russian Imperial Stout,0,0,Dania,8,mikkeller-black-s1-n1440#komentarze
BrewDog Cocoa Psycho,Russian Imperial Stout,0,0,Wielka Brytania,8,brewdog-cocoa-psycho-s1-n1284#komentarze
Perun Behemoth Bafomet,Russian Imperial Stout,0,0,Polska,8,perun-behemoth-bafomet-s1-n4959#komentarze
Piwne Podziemie Tropicalia,Session IPA,0,0,Polska,8,piwne-podziemie-tropicalia-s1-n3861#komentarze
Jan Olbracht Rzemieślniczy Kord Whiskey Barrel Aged,Quintuple Whiskey BA,0,0,Polska,8,jan-olbracht-rzemieslniczy-kord-whiskey-barrel-aged-s1-n5598#komentarze
Golem Lilith,Russian Imperial Stout,0,0,Polska,8,golem-lilith-s1-n6321#komentarze
Podgórz Siostra Bożenka,American IPA,0,0,Polska,8,podgorz-siostra-bozenka-s1-n2292#komentarze
Deer Bear Coffee Break,Coffee Cocoa Vanilla Nutmeg Stout,0,0,Polska,8,deer-bear-coffee-break-s1-n9269#komentarze
Raduga SolaRIS,"Imperial Stout ",0,0,Polska,8,raduga-solaris-s1-n9388#komentarze
Pinta Imperator Bałtycki,Baltic Porter,0,0,Polska,8,pinta-imperator-baltycki-s1-n1571#komentarze
Golem Lilith,Russian Imperial Stout,0,0,Polska,8,golem-lilith-s1-n6321#komentarze
Podgórz Siostra Bożenka,American IPA,0,0,Polska,8,podgorz-siostra-bozenka-s1-n2292#komentarze
Deer Bear Coffee Break,Coffee Cocoa Vanilla Nutmeg Stout,0,0,Polska,8,deer-bear-coffee-break-s1-n9269#komentarze
Raduga SolaRIS,"Imperial Stout ",0,0,Polska,8,raduga-solaris-s1-n9388#komentarze
Pinta Imperator Bałtycki,Baltic Porter,0,0,Polska,8,pinta-imperator-baltycki-s1-n1571#komentarze
Birbant Oz Whisky Barrel Aged,Imperial Stout BA,0,0,Polska,8,birbant-oz-whisky-barrel-aged-s1-n8673#komentarze
Perun Młot Swaroga,American IPA,0,0,Polska,8,perun-mlot-swaroga-s1-n6193#komentarze
Pracownia Piwa Hadra,American IPA,0,0,Polska,8,pracownia-piwa-hadra-s1-n2183#komentarze
Brokreacja The Gravedigger,Russian Imperial Stout,0,0,Polska,8,brokreacja-the-gravedigger-s1-n4614#komentarze
Trzech Kumpli Idiota,Russian Imperial Stout,0,0,Polska,8,trzech-kumpli-idiota-s1-n9456#komentarze
Birbant Oz Whisky Barrel Aged,Imperial Stout BA,0,0,Polska,8,birbant-oz-whisky-barrel-aged-s1-n8673#komentarze
Perun Młot Swaroga,American IPA,0,0,Polska,8,perun-mlot-swaroga-s1-n6193#komentarze
Pracownia Piwa Hadra,American IPA,0,0,Polska,8,pracownia-piwa-hadra-s1-n2183#komentarze
Brokreacja The Gravedigger,Russian Imperial Stout,0,0,Polska,8,brokreacja-the-gravedigger-s1-n4614#komentarze
Trzech Kumpli Idiota,Russian Imperial Stout,0,0,Polska,8,trzech-kumpli-idiota-s1-n9456#komentarze
Podgórz 652 m n.p.m,Baltic Porter,0,0,Polska,8,podgorz-652-m-npm-s1-n4319#komentarze
Wrężel Tropical Imperial India Pale Ale,Imperial IPA,0,0,Polska,8,wrezel-tropical-imperial-india-pale-ale-s1-n5617#komentarze
Kormoran Barlow Sorbus,Barley Wine,0,0,Polska,8,kormoran-barlow-sorbus-s1-n8647#komentarze
Rochefort Trappistes 10,Abt/Quadrupel,0,0,Belgia,8,rochefort-trappistes-10-s1-n343#komentarze
Na Jurze Ale Meksyk,,0,0,Polska,8,na-jurze-ale-meksyk-s1-n9625#komentarze
Podgórz 652 m n.p.m,Baltic Porter,0,0,Polska,8,podgorz-652-m-npm-s1-n4319#komentarze
Wrężel Tropical Imperial India Pale Ale,Imperial IPA,0,0,Polska,8,wrezel-tropical-imperial-india-pale-ale-s1-n5617#komentarze
Kormoran Barlow Sorbus,Barley Wine,0,0,Polska,8,kormoran-barlow-sorbus-s1-n8647#komentarze
Rochefort Trappistes 10,Abt/Quadrupel,0,0,Belgia,8,rochefort-trappistes-10-s1-n343#komentarze
Na Jurze Ale Meksyk,,0,0,Polska,8,na-jurze-ale-meksyk-s1-n9625#komentarze
Kormoran Imperium Prunum,Imperial Baltic Porter,0,0,Polska,8,kormoran-imperium-prunum-s1-n4343#komentarze
PiwoWarownia Pora Na Chmielesfora,Sorachi Ace IPA,0,0,Polska,8,piwowarownia-pora-na-chmielesfora-s1-n6472#komentarze
Szałpiw Fest Buba,Quadrupel,0,0,Polska,8,szalpiw-fest-buba-s1-n5063#komentarze
Solipiwko Baltic Abyss,Imperial Baltic Porter,0,0,Polska,8,solipiwko-baltic-abyss-s1-n6714#komentarze
Piwne Podziemie Juicilicious,New England IPA,0,0,Polska,8,piwne-podziemie-juicilicious-s1-n9204#komentarze
