Date,Opinion
2018-11-29 13:15:17,Polecam ciepłe i rozgazowane piwko.<br>
2018-10-25 10:34:10,"27 pln za 330 ml ? Piwo nie jest złe ale stosunek ceny do jakości powinien oscylować 12-15 pln. "
2018-07-19 16:26:58,"Bardzo źle. Otwierajac piwo mozemy odczuc wrazenie ze gdzies gnije ludzkie ciało czy chuj wie co. Tak, tak ten browar jebie. O smaku nie chce sie rozpisywac bo bym musial napisac ksiazke o czyms tak chujowym. Miałem wrazenie ze pije olej z frytkownicy wymieszany z gównem kaszalota. Nie rozumiem zachwytu nad tym piwem, wole sie napic sterna"
2017-04-27 09:43:55,Niedobre piwo. Brak goryczki. Dziwny słodkawo-owocowo-kakaowy smak. To ja już wolę oranżadę lub sok oczywiście trochę wzmocniony. Piwo MUSI być gorzkie!
2016-03-30 20:08:41,"Ludzie, którzy uważają Blacka za słabego w swoim gatunku - w ogóle się na piwie nie znają. Wśród RiS-ów mało, który ma do niego start."
2018-07-13 12:55:41,"Bzdura.. Piłem i zastanawiam się czy ta wysoka ocena to za smak czy za miłość do zespołu i na pewno z miłości do zespołu. Pilismy go w dużym gronie starych piwoszy, metalowcow i rockandrolowcow i wypadło bardzo przeciętnie waszych ocenach. Oczywiście kolega, ""fanatyk"" Behemotha uważa że jest super:) :) :) "
2017-06-22 15:20:58,"Znakomita lekka IPA , najlepsza jaką do tej pory piłem w Polsce.<br>Fantastyczny smak, świetny zapach, wyjątkowa ""gładkość"" spotykana tylko w dobrych bitterach angielskich i to wszystko przy 4,7% alkoholu.<br>Niech się inne browary uczą od Piwnego Podziemia ,ze nie trzeba <br>6,5/16 zeby piwo było pełne i aromatyczne . "
2016-03-30 20:08:41,"Ludzie, którzy uważają Blacka za słabego w swoim gatunku - w ogóle się na piwie nie znają. Wśród RiS-ów mało, który ma do niego start."
2018-07-13 12:55:41,"Bzdura.. Piłem i zastanawiam się czy ta wysoka ocena to za smak czy za miłość do zespołu i na pewno z miłości do zespołu. Pilismy go w dużym gronie starych piwoszy, metalowcow i rockandrolowcow i wypadło bardzo przeciętnie waszych ocenach. Oczywiście kolega, ""fanatyk"" Behemotha uważa że jest super:) :) :) "
2017-06-22 15:20:58,"Znakomita lekka IPA , najlepsza jaką do tej pory piłem w Polsce.<br>Fantastyczny smak, świetny zapach, wyjątkowa ""gładkość"" spotykana tylko w dobrych bitterach angielskich i to wszystko przy 4,7% alkoholu.<br>Niech się inne browary uczą od Piwnego Podziemia ,ze nie trzeba <br>6,5/16 zeby piwo było pełne i aromatyczne . "
2018-08-04 14:42:20,"nie rozumiem poco idiotyczne zachodnie nazwy , dlatego nie kupie"
2018-12-08 13:00:46,"Pycha,!"
2018-04-14 20:10:01,Najlepszy Ris jaki pilem. Wszystko na swoim miejscu. Szkoda że taka cena
2017-12-30 19:59:16,Napitek tylko dla fanów amerykańskich chmieli. Dla reszty męka :(<br>Bartezz.
2018-08-04 14:42:20,"nie rozumiem poco idiotyczne zachodnie nazwy , dlatego nie kupie"
2018-12-08 13:00:46,"Pycha,!"
2018-04-14 20:10:01,Najlepszy Ris jaki pilem. Wszystko na swoim miejscu. Szkoda że taka cena
2017-12-30 19:59:16,Napitek tylko dla fanów amerykańskich chmieli. Dla reszty męka :(<br>Bartezz.
2018-09-15 16:51:14,"Nie ocenie tego obiektywnie.  Ładnie wali w łeb.  Czuć żywice, cytrusy i ananasa w aromacie. W smaku przefermentowane owoce, i sosna. Goryczka wykręca mordę. Smakowało mi.  "
2017-08-18 11:50:05,Dla mnie jedno z najlepszych piw na świecie.
2018-09-15 16:51:14,"Nie ocenie tego obiektywnie.  Ładnie wali w łeb.  Czuć żywice, cytrusy i ananasa w aromacie. W smaku przefermentowane owoce, i sosna. Goryczka wykręca mordę. Smakowało mi.  "
2017-08-18 11:50:05,Dla mnie jedno z najlepszych piw na świecie.
2018-09-10 09:24:41,"praliny-sraliny! dobrze ktoś napisał że to salcesonem wali, kupiłem pięć i z tego ledwo jedno zmęczyłem, reszta do zlewu pójdzie"
2018-08-24 07:35:10,Czy w platiku sprzedają takie?
